,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
115,Maruti Alto K10,Maruti,2013,"1,10,187 km",Petrol,Manual,"EMI ₹9,132/m*",₹1.94 lakh
116,Hyundai Verna,Hyundai,2013,"1,36,906 km",Diesel,Manual,"EMI ₹17,770/m*",₹2.00 lakh
117,KIA SELTOS,KIA,2023,"33,383 km",Diesel,Manual,"EMI ₹16,369/m*",₹9.56 lakh
118,Volkswagen Polo,Volkswagen,2011,"62,000 km",Petrol,Manual,"EMI ₹16,369/m*",₹1.45 lakh
119,Honda City,Honda,2014,"1,28,312 km",Diesel,Manual,"EMI ₹10,450/m*",₹2.22 lakh
120,Renault Kwid,Renault,2020,"22,100 km",Petrol,Auto,"EMI ₹5,119/m*",₹2.90 lakh
121,Maruti Vitara Brezza,Maruti,2018,"1,32,359 km",Diesel,Manual,"EMI ₹12,056/m*",₹5.42 lakh
122,Hyundai Xcent,Hyundai,2015,"33,440 km",Petrol,Manual,"EMI ₹6,057/m*",₹2.30 lakh
123,Honda Amaze,Honda,2013,"1,74,505 km",Petrol,Manual,"EMI ₹11,015/m*",₹2.34 lakh
124,Tata Tiago,Tata,2018,"1,60,805 km",Petrol,Manual,"EMI ₹6,673/m*",₹3.00 lakh
125,Hyundai Verna,Hyundai,2015,"87,605 km",Petrol,Auto,"EMI ₹6,583/m*",₹2.50 lakh
126,Maruti Alto 800,Maruti,2013,"65,814 km",Petrol,Manual,"EMI ₹7,155/m*",₹1.52 lakh
127,Maruti Baleno,Maruti,2016,"1,28,629 km",Petrol,Manual,"EMI ₹6,896/m*",₹3.10 lakh
128,Maruti Swift Dzire,Maruti,2019,"1,31,044 km",Petrol,Manual,"EMI ₹7,341/m*",₹3.30 lakh
129,Hyundai Verna,Hyundai,2011,"1,11,820 km",Diesel,Manual,"EMI ₹7,341/m*",₹1.14 lakh
130,Maruti Wagon R 1.0,Maruti,2016,"95,775 km",Petrol,Manual,"EMI ₹4,449/m*",₹2.00 lakh
131,Hyundai i20,Hyundai,2012,"1,09,007 km",Diesel,Manual,"EMI ₹4,449/m*",₹2.16 lakh
132,Ford Ecosport,Ford,2014,"1,06,815 km",Petrol,Manual,"EMI ₹8,104/m*",₹2.44 lakh
133,Maruti IGNIS,Maruti,2017,"85,005 km",Petrol,Manual,"EMI ₹5,865/m*",₹3.00 lakh
134,Renault Kwid,Renault,2018,"61,881 km",Petrol,Manual,"EMI ₹3,389/m*",₹1.92 lakh
135,Ford New Figo,Ford,2015,"1,53,934 km",Diesel,Manual,"EMI ₹5,779/m*",₹1.74 lakh
136,Honda Amaze,Honda,2014,"1,16,670 km",Diesel,Manual,"EMI ₹10,639/m*",₹2.26 lakh
137,Maruti Celerio,Maruti,2015,"1,66,314 km",Petrol,Manual,"EMI ₹5,267/m*",₹2.00 lakh
138,Hyundai Verna,Hyundai,2021,"1,28,154 km",Diesel,Manual,"EMI ₹18,546/m*",₹8.53 lakh
139,Volkswagen Polo,Volkswagen,2016,"76,500 km",Petrol,Manual,"EMI ₹6,673/m*",₹3.00 lakh
140,Hyundai Verna,Hyundai,2013,"1,28,893 km",Diesel,Manual,"EMI ₹26,122/m*",₹2.94 lakh
141,Mahindra Kuv100,Mahindra,2016,"85,512 km",Diesel,Manual,"EMI ₹7,163/m*",₹2.72 lakh
142,Maruti Swift Dzire,Maruti,2013,"1,56,358 km",Diesel,Manual,"EMI ₹25,766/m*",₹2.90 lakh
143,Hyundai Grand i10,Hyundai,2016,"63,868 km",Petrol,Manual,"EMI ₹5,739/m*",₹2.58 lakh
144,Ford Ecosport,Ford,2014,"1,10,899 km",Diesel,Manual,"EMI ₹10,592/m*",₹2.25 lakh
145,Maruti Baleno,Maruti,2017,"1,22,162 km",Petrol,Manual,"EMI ₹8,564/m*",₹3.85 lakh
146,Maruti Swift,Maruti,2011,"1,58,918 km",Diesel,Manual,"EMI ₹8,564/m*",₹1.20 lakh
147,Maruti Grand Vitara,Maruti,2024,"40,592 km",Petrol,Manual,"EMI ₹15,256/m*",₹8.91 lakh
148,Hyundai Verna,Hyundai,2013,"1,57,439 km",Diesel,Manual,"EMI ₹23,811/m*",₹2.68 lakh
149,Maruti Baleno,Maruti,2019,"42,922 km",Petrol,Manual,"EMI ₹8,544/m*",₹4.84 lakh
150,Hyundai VENUE,Hyundai,2023,"66,731 km",Petrol,Manual,"EMI ₹11,474/m*",₹6.50 lakh
151,Maruti Swift Dzire,Maruti,2014,"1,88,178 km",Diesel,Manual,"EMI ₹13,416/m*",₹2.85 lakh
152,Hyundai Xcent,Hyundai,2015,"1,30,050 km",Diesel,Manual,"EMI ₹6,444/m*",₹1.94 lakh
153,Maruti Baleno,Maruti,2016,"96,682 km",Petrol,Manual,"EMI ₹7,274/m*",₹3.27 lakh
154,Maruti Ciaz,Maruti,2016,"1,21,095 km",Petrol,Manual,"EMI ₹7,674/m*",₹3.45 lakh
155,Tata NEXON,Tata,2019,"54,775 km",Petrol,Manual,"EMI ₹8,279/m*",₹4.69 lakh
156,Volkswagen Polo,Volkswagen,2019,"70,545 km",Petrol,Manual,"EMI ₹7,096/m*",₹4.02 lakh
157,Mahindra XUV500,Mahindra,2017,"1,47,846 km",Diesel,Manual,"EMI ₹13,636/m*",₹6.13 lakh
158,Maruti Swift,Maruti,2016,"61,286 km",Petrol,Manual,"EMI ₹7,786/m*",₹3.50 lakh
159,Tata TIGOR,Tata,2018,"1,27,908 km",Diesel,Manual,"EMI ₹7,430/m*",₹3.34 lakh
160,Honda City,Honda,2018,"65,759 km",Petrol,Manual,"EMI ₹9,321/m*",₹5.28 lakh
161,Volkswagen VIRTUS,Volkswagen,2025,"10,165 km",Petrol,Manual,"EMI ₹17,893/m*",₹10.45 lakh
162,Maruti IGNIS,Maruti,2019,"44,861 km",Petrol,Manual,"EMI ₹6,249/m*",₹3.54 lakh
163,Tata Harrier,Tata,2022,"38,400 km",Diesel,Auto,"EMI ₹26,095/m*",₹15.24 lakh
164,Tata Harrier,Tata,2022,"64,951 km",Diesel,Manual,"EMI ₹24,759/m*",₹14.46 lakh
165,Jeep Compass,Jeep,2018,"1,20,116 km",Diesel,Manual,"EMI ₹15,571/m*",₹7.00 lakh
166,MG HECTOR,MG,2021,"1,99,323 km",Diesel,Manual,"EMI ₹16,127/m*",₹7.25 lakh
167,Volkswagen Jetta,Volkswagen,2012,"95,899 km",Diesel,Manual,"EMI ₹16,127/m*",₹3.83 lakh
168,Renault Kiger,Renault,2022,"24,766 km",Petrol,Manual,"EMI ₹11,121/m*",₹6.30 lakh
169,Tata Harrier,Tata,2022,"1,84,720 km",Diesel,Auto,"EMI ₹31,244/m*",₹14.37 lakh
170,Toyota Etios,Toyota,2015,"99,622 km",Diesel,Manual,"EMI ₹9,831/m*",₹2.96 lakh
171,Hyundai Elite i20,Hyundai,2020,"27,327 km",Petrol,Manual,"EMI ₹9,409/m*",₹5.33 lakh
172,Maruti Alto,Maruti,2020,"67,071 km",Petrol,Manual,"EMI ₹4,819/m*",₹2.73 lakh
173,Maruti Ciaz,Maruti,2018,"1,37,820 km",Petrol,Auto,"EMI ₹10,878/m*",₹4.89 lakh
174,Hyundai Grand i10,Hyundai,2017,"95,802 km",Petrol,Manual,"EMI ₹5,885/m*",₹3.01 lakh
175,Tata Zest,Tata,2017,"1,52,515 km",Diesel,Manual,"EMI ₹5,494/m*",₹2.47 lakh
