,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
273,Mahindra SCORPIO CLASSIC,Mahindra,2022,"2,871 km",Diesel,Manual,"EMI ₹27,773/m*",₹16.22 lakh
274,Hyundai i20 Active,Hyundai,2018,"70,579 km",Diesel,Manual,"EMI ₹20,328/m*",₹10.68 lakh
275,Tata Curvv,Tata,2024,"15,540 km",Petrol,Manual,"EMI ₹22,019/m*",₹12.86 lakh
276,Mahindra Scorpio,Mahindra,2015,"2,56,183 km",Diesel,Manual,"EMI ₹25,176/m*",₹7.58 lakh
277,Hyundai Tucson,Hyundai,2022,"34,841 km",Petrol,Auto,"EMI ₹30,820/m*",₹18.00 lakh
278,Toyota Innova Crysta,Toyota,2016,"2,65,075 km",Diesel,Manual,"EMI ₹23,261/m*",₹9.00 lakh
279,MG HECTOR,MG,2023,"68,769 km",Petrol,Auto,"EMI ₹34,878/m*",₹20.37 lakh
280,Hyundai Tucson,Hyundai,2024,"22,451 km",Diesel,Auto,"EMI ₹56,213/m*",₹32.83 lakh
281,Hyundai Creta,Hyundai,2024,"21,000 km",Petrol,Manual,"EMI ₹28,423/m*",₹16.60 lakh
282,Tata Harrier,Tata,2021,"84,959 km",Diesel,Manual,"EMI ₹20,547/m*",₹12.00 lakh
283,Toyota Innova Crysta,Toyota,2021,"82,787 km",Diesel,Manual,"EMI ₹30,820/m*",₹18.00 lakh
284,MG GLOSTER,MG,2023,"82,832 km",Diesel,Auto,"EMI ₹63,216/m*",₹36.92 lakh
285,Tata Safari,Tata,2023,"42,661 km",Diesel,Manual,"EMI ₹30,820/m*",₹18.00 lakh
286,Mahindra ALTURAS G4,Mahindra,2020,"64,235 km",Diesel,Auto,"EMI ₹48,131/m*",₹28.11 lakh
287,Ford Ecosport,Ford,2020,"1,67,209 km",Diesel,Manual,"EMI ₹13,680/m*",₹6.15 lakh
288,Hyundai Xcent,Hyundai,2014,"69,262 km",Petrol,Manual,"EMI ₹6,942/m*",₹2.09 lakh
289,Maruti Alto,Maruti,2011,"15,342 km",Petrol,Manual,"EMI ₹6,942/m*",₹0.94 lakh
290,Mahindra XUV500,Mahindra,2017,"37,063 km",Diesel,Manual,"EMI ₹16,092/m*",₹7.23 lakh
291,Renault Kwid,Renault,2016,"49,405 km",Petrol,Manual,"EMI ₹3,248/m*",₹1.46 lakh
292,Mahindra Scorpio,Mahindra,2014,"2,05,700 km",Diesel,Manual,"EMI ₹12,239/m*",₹2.60 lakh
293,Maruti Alto 800,Maruti,2012,"28,705 km",Petrol,Manual,"EMI ₹13,772/m*",₹1.55 lakh
294,Hyundai Elite i20,Hyundai,2019,"39,242 km",Petrol,Manual,"EMI ₹7,132/m*",₹4.04 lakh
295,Maruti Wagon R 1.0,Maruti,2013,"72,548 km",Petrol,Manual,"EMI ₹9,697/m*",₹2.06 lakh
296,Ford FREESTYLE,Ford,2020,"20,911 km",Diesel,Manual,"EMI ₹13,840/m*",₹7.84 lakh
297,Mahindra Kuv100,Mahindra,2016,"17,581 km",Diesel,Manual,"EMI ₹6,794/m*",₹2.58 lakh
298,Renault Duster,Renault,2015,"73,350 km",Diesel,Manual,"EMI ₹9,134/m*",₹2.75 lakh
299,Renault Kwid,Renault,2016,"60,720 km",Petrol,Manual,"EMI ₹4,026/m*",₹1.81 lakh
300,Hyundai i10,Hyundai,2011,"99,580 km",Petrol,Manual,"EMI ₹4,026/m*",₹0.94 lakh
301,Hyundai Grand i10,Hyundai,2019,"65,000 km",Petrol,Manual,"EMI ₹5,719/m*",₹3.24 lakh
302,Mahindra Thar,Mahindra,2021,"85,850 km",Diesel,Auto,"EMI ₹16,266/m*",₹9.50 lakh
303,Ford Ecosport,Ford,2019,"15,963 km",Petrol,Manual,"EMI ₹9,054/m*",₹5.13 lakh
304,Hyundai New Elantra,Hyundai,2018,"54,355 km",Diesel,Auto,"EMI ₹15,178/m*",₹7.76 lakh
305,Hyundai EXTER,Hyundai,2023,"36,600 km",Petrol,Manual,"EMI ₹10,415/m*",₹5.90 lakh
306,Toyota Etios,Toyota,2020,"65,593 km",CNG,Manual,"EMI ₹6,411/m*",₹3.63 lakh
307,Hyundai NEW I20,Hyundai,2023,"39,296 km",Petrol,Manual,"EMI ₹9,356/m*",₹5.30 lakh
308,Maruti Baleno,Maruti,2020,"48,273 km",Petrol,Manual,"EMI ₹8,297/m*",₹4.70 lakh
309,Maruti Baleno,Maruti,2018,"32,850 km",Petrol,Auto,"EMI ₹6,779/m*",₹3.84 lakh
310,Ford Ecosport,Ford,2021,"12,457 km",Petrol,Manual,"EMI ₹10,786/m*",₹6.11 lakh
311,Mahindra XUV500,Mahindra,2019,"91,379 km",Diesel,Manual,"EMI ₹14,724/m*",₹8.60 lakh
312,Hyundai NEW I20,Hyundai,2024,"11,965 km",Petrol,Manual,"EMI ₹12,533/m*",₹7.10 lakh
313,Renault Kwid,Renault,2022,"19,489 km",Petrol,Manual,"EMI ₹6,178/m*",₹3.50 lakh
