,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
88,Maruti Swift,Maruti,2016,"1,42,033 km",Petrol,Manual,"EMI ₹6,082/m*",₹2.73 lakh
89,Renault Kwid,Renault,2020,"35,313 km",Petrol,Manual,"EMI ₹4,488/m*",₹2.54 lakh
90,Hyundai NEW SANTRO,Hyundai,2019,"55,760 km",Petrol,Manual,"EMI ₹4,493/m*",₹2.55 lakh
91,Honda Brio,Honda,2013,"87,101 km",Petrol,Manual,"EMI ₹9,264/m*",₹1.97 lakh
92,Hyundai Creta,Hyundai,2016,"1,01,744 km",Petrol,Auto,"EMI ₹10,807/m*",₹4.86 lakh
93,Maruti Baleno,Maruti,2020,"76,354 km",Petrol,Manual,"EMI ₹6,952/m*",₹3.94 lakh
94,Maruti Swift,Maruti,2014,"96,432 km",Petrol,Manual,"EMI ₹7,821/m*",₹2.35 lakh
95,Skoda KUSHAQ,Skoda,2022,"42,840 km",Petrol,Manual,"EMI ₹10,230/m*",₹5.80 lakh
96,KIA CARENS,KIA,2023,"15,169 km",Diesel,Manual,"EMI ₹19,510/m*",₹11.39 lakh
97,Hyundai NEW I20,Hyundai,2023,"11,135 km",Petrol,Auto,"EMI ₹13,530/m*",₹7.66 lakh
98,Maruti IGNIS,Maruti,2018,"1,11,990 km",Petrol,Manual,"EMI ₹5,641/m*",₹2.54 lakh
99,MG HECTOR,MG,2020,"44,808 km",Petrol,Auto,"EMI ₹14,332/m*",₹8.37 lakh
100,MG HECTOR,MG,2020,"73,546 km",Petrol,Manual,"EMI ₹12,619/m*",₹7.15 lakh
101,Skoda KUSHAQ,Skoda,2023,"65,263 km",Petrol,Manual,"EMI ₹12,715/m*",₹7.20 lakh
102,Maruti Baleno,Maruti,2021,"69,629 km",CNG,Manual,"EMI ₹8,513/m*",₹4.82 lakh
103,Maruti Dzire,Maruti,2017,"79,828 km",Diesel,Auto,"EMI ₹10,080/m*",₹4.53 lakh
104,Tata Tiago,Tata,2017,"74,070 km",Petrol,Manual,"EMI ₹5,610/m*",₹2.87 lakh
105,Hyundai Elite i20,Hyundai,2018,"69,031 km",Petrol,Manual,"EMI ₹7,925/m*",₹4.49 lakh
106,Tata TIGOR,Tata,2024,"14,711 km",CNG,Auto,"EMI ₹11,858/m*",₹6.72 lakh
107,Hyundai Xcent,Hyundai,2015,"1,10,613 km",Petrol,Manual,"EMI ₹6,261/m*",₹2.38 lakh
108,Datsun Redi Go,Datsun,2016,"86,474 km",Petrol,Manual,"EMI ₹2,593/m*",₹1.17 lakh
109,Hyundai Creta,Hyundai,2022,"62,580 km",Petrol,Auto,"EMI ₹17,263/m*",₹10.08 lakh
110,Tata Tiago,Tata,2021,"54,320 km",Petrol,Manual,"EMI ₹6,852/m*",₹3.88 lakh
111,Renault Kwid,Renault,2018,"46,460 km",Petrol,Manual,"EMI ₹3,225/m*",₹1.83 lakh
112,Hyundai NEW SANTRO,Hyundai,2019,"60,682 km",CNG,Manual,"EMI ₹6,255/m*",₹3.20 lakh
113,Maruti Ciaz,Maruti,2016,"95,979 km",Petrol,Manual,"EMI ₹7,952/m*",₹3.58 lakh
114,Tata PUNCH,Tata,2024,"30,896 km",CNG,Manual,"EMI ₹12,149/m*",₹6.88 lakh
115,Maruti Wagon R 1.0,Maruti,2014,"18,427 km",Petrol,Manual,"EMI ₹7,451/m*",₹2.24 lakh
116,Jeep Compass,Jeep,2018,"42,428 km",Petrol,Auto,"EMI ₹12,391/m*",₹7.02 lakh
117,Tata Safari,Tata,2022,"28,697 km",Diesel,Manual,"EMI ₹18,561/m*",₹10.84 lakh
118,Maruti Ertiga,Maruti,2019,"1,28,670 km",Diesel,Manual,"EMI ₹16,405/m*",₹7.38 lakh
119,Honda Brio,Honda,2013,"96,095 km",Petrol,Manual,"EMI ₹7,859/m*",₹1.67 lakh
120,Hyundai NEW SANTRO,Hyundai,2021,"79,520 km",CNG,Manual,"EMI ₹7,040/m*",₹3.99 lakh
121,Renault Kwid,Renault,2020,"26,920 km",Petrol,Manual,"EMI ₹5,176/m*",₹2.93 lakh
122,Tata Zest,Tata,2014,"89,294 km",Petrol,Manual,"EMI ₹6,056/m*",₹1.82 lakh
123,Datsun Redi Go,Datsun,2017,"33,733 km",Petrol,Manual,"EMI ₹2,761/m*",₹1.41 lakh
124,Nissan MAGNITE,Nissan,2022,"44,888 km",Petrol,Manual,"EMI ₹8,501/m*",₹4.82 lakh
125,Honda City,Honda,2017,"67,763 km",Petrol,Manual,"EMI ₹9,946/m*",₹5.09 lakh
126,Maruti Alto K10,Maruti,2014,"59,340 km",CNG,Manual,"EMI ₹16,038/m*",₹1.81 lakh
127,Datsun Go,Datsun,2015,"1,22,106 km",Petrol,Manual,"EMI ₹3,081/m*",₹1.17 lakh
128,Hyundai i10,Hyundai,2012,"1,26,549 km",Petrol,Manual,"EMI ₹12,679/m*",₹1.43 lakh
129,Hyundai Verna,Hyundai,2016,"91,262 km",Diesel,Manual,"EMI ₹10,696/m*",₹4.06 lakh
130,Hyundai AURA,Hyundai,2022,"67,386 km",Petrol,Auto,"EMI ₹9,823/m*",₹5.56 lakh
131,Renault Kwid,Renault,2017,"79,788 km",Petrol,Manual,"EMI ₹3,848/m*",₹1.97 lakh
132,Maruti Eeco,Maruti,2020,"30,185 km",Petrol,Manual,"EMI ₹6,372/m*",₹3.61 lakh
133,Skoda Rapid,Skoda,2021,"1,06,339 km",Petrol,Auto,"EMI ₹9,884/m*",₹4.44 lakh
134,Renault Kwid,Renault,2019,"83,910 km",Petrol,Auto,"EMI ₹3,981/m*",₹2.26 lakh
135,Volkswagen Vento,Volkswagen,2015,"1,21,235 km",Diesel,Manual,"EMI ₹10,503/m*",₹3.16 lakh
136,Hyundai Grand i10,Hyundai,2019,"1,12,058 km",CNG,Manual,"EMI ₹7,909/m*",₹3.56 lakh
137,Maruti New Wagon-R,Maruti,2021,"9,203 km",Petrol,Manual,"EMI ₹7,523/m*",₹4.26 lakh
138,Maruti Alto,Maruti,2021,"78,801 km",Petrol,Manual,"EMI ₹4,384/m*",₹2.48 lakh
139,Maruti Swift,Maruti,2017,"88,775 km",Petrol,Manual,"EMI ₹6,406/m*",₹3.28 lakh
140,Honda Jazz,Honda,2018,"28,216 km",Petrol,Manual,"EMI ₹6,711/m*",₹3.80 lakh
141,Honda City,Honda,2019,"65,180 km",Petrol,Auto,"EMI ₹11,356/m*",₹6.43 lakh
142,Jeep Compass,Jeep,2018,"68,910 km",Petrol,Auto,"EMI ₹11,229/m*",₹6.36 lakh
143,KIA SELTOS,KIA,2020,"1,47,705 km",Diesel,Manual,"EMI ₹18,264/m*",₹8.40 lakh
144,MG HECTOR,MG,2023,"25,752 km",Petrol,Auto,"EMI ₹19,280/m*",₹11.26 lakh
145,Tata NEXON,Tata,2022,"47,565 km",Petrol,Auto,"EMI ₹10,616/m*",₹6.01 lakh
146,Maruti Alto K10,Maruti,2017,"36,534 km",Petrol,Manual,"EMI ₹4,664/m*",₹2.39 lakh
147,Honda WR-V,Honda,2022,"29,859 km",Petrol,Manual,"EMI ₹12,357/m*",₹7.00 lakh
148,Hyundai i20,Hyundai,2013,"47,227 km",Petrol,Manual,"EMI ₹13,168/m*",₹2.80 lakh
149,Hyundai Grand i10,Hyundai,2018,"22,048 km",Petrol,Manual,"EMI ₹6,579/m*",₹3.73 lakh
150,Maruti IGNIS,Maruti,2017,"86,133 km",Petrol,Manual,"EMI ₹4,408/m*",₹2.25 lakh
151,Tata PUNCH,Tata,2022,"38,834 km",Petrol,Manual,"EMI ₹8,425/m*",₹4.77 lakh
152,Honda Amaze,Honda,2014,"1,28,271 km",Petrol,Manual,"EMI ₹7,800/m*",₹2.35 lakh
