,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
221,Hyundai Creta,Hyundai,2017,"82,290 km",Petrol,Manual,"EMI ₹14,272/m*",₹7.30 lakh
222,Maruti Celerio,Maruti,2018,"34,700 km",Petrol,Auto,"EMI ₹5,984/m*",₹3.39 lakh
223,Hyundai Santro Xing,Hyundai,2010,"75,335 km",Petrol,Manual,"EMI ₹5,984/m*",₹1.15 lakh
224,Hyundai i20 Active,Hyundai,2015,"89,769 km",Diesel,Manual,"EMI ₹12,323/m*",₹3.71 lakh
225,Ford FREESTYLE,Ford,2019,"1,13,486 km",Petrol,Manual,"EMI ₹9,743/m*",₹4.38 lakh
226,Volkswagen Polo,Volkswagen,2015,"80,434 km",Petrol,Manual,"EMI ₹10,534/m*",₹4.00 lakh
227,Hyundai Verna,Hyundai,2012,"1,88,719 km",Diesel,Auto,"EMI ₹10,534/m*",₹2.45 lakh
228,Honda Amaze,Honda,2020,"30,081 km",Petrol,Manual,"EMI ₹8,826/m*",₹5.00 lakh
229,Ford Ecosport,Ford,2017,"1,12,227 km",Diesel,Manual,"EMI ₹10,010/m*",₹4.50 lakh
230,Maruti Swift,Maruti,2014,"45,254 km",Petrol,Manual,"EMI ₹11,957/m*",₹3.60 lakh
231,Maruti Celerio,Maruti,2017,"53,113 km",Petrol,Auto,"EMI ₹6,608/m*",₹3.38 lakh
232,Hyundai i20,Hyundai,2010,"82,696 km",Petrol,Manual,"EMI ₹6,608/m*",₹1.40 lakh
233,Maruti Celerio,Maruti,2016,"95,150 km",Petrol,Auto,"EMI ₹6,940/m*",₹3.12 lakh
234,Ford Ecosport,Ford,2014,"1,38,000 km",Diesel,Manual,"EMI ₹14,122/m*",₹3.00 lakh
235,Honda City,Honda,2014,"77,333 km",Petrol,Manual,"EMI ₹11,393/m*",₹3.43 lakh
236,Mahindra Bolero,Mahindra,2020,"1,25,269 km",Diesel,Manual,"EMI ₹17,082/m*",₹7.68 lakh
237,Mahindra TUV300,Mahindra,2016,"1,43,583 km",Diesel,Manual,"EMI ₹12,351/m*",₹4.69 lakh
238,Maruti Celerio,Maruti,2017,"69,067 km",Petrol,Auto,"EMI ₹6,745/m*",₹3.45 lakh
239,Skoda Rapid,Skoda,2013,"1,16,770 km",Diesel,Manual,"EMI ₹23,723/m*",₹2.67 lakh
240,Maruti Ritz,Maruti,2013,"1,25,866 km",Diesel,Manual,"EMI ₹22,390/m*",₹2.52 lakh
241,Maruti Ritz,Maruti,2012,"51,204 km",Petrol,Manual,"EMI ₹18,214/m*",₹2.05 lakh
242,Maruti Ritz,Maruti,2016,"72,221 km",Petrol,Manual,"EMI ₹5,784/m*",₹2.60 lakh
243,Honda WR-V,Honda,2017,"92,456 km",Diesel,Manual,"EMI ₹11,901/m*",₹5.35 lakh
244,Maruti Dzire,Maruti,2023,"53,869 km",Petrol,Manual,"EMI ₹11,810/m*",₹6.69 lakh
245,Ford Ecosport,Ford,2014,"1,17,697 km",Diesel,Manual,"EMI ₹16,523/m*",₹3.51 lakh
246,Honda Jazz,Honda,2010,"1,07,395 km",Petrol,Manual,"EMI ₹16,523/m*",₹1.50 lakh
247,Maruti Ciaz,Maruti,2019,"49,302 km",Petrol,Manual,"EMI ₹10,150/m*",₹5.75 lakh
248,Tata NEXON,Tata,2019,"91,142 km",Diesel,Manual,"EMI ₹8,544/m*",₹4.84 lakh
249,Maruti Eeco,Maruti,2012,"66,913 km",Petrol,Manual,"EMI ₹23,101/m*",₹2.60 lakh
250,Renault TRIBER,Renault,2022,"48,500 km",Petrol,Manual,"EMI ₹8,826/m*",₹5.00 lakh
251,Mahindra Bolero,Mahindra,2012,"61,450 km",Diesel,Manual,"EMI ₹8,826/m*",₹2.36 lakh
252,Honda City,Honda,2014,"1,20,397 km",Diesel,Manual,"EMI ₹17,558/m*",₹3.73 lakh
253,Hyundai Elite i20,Hyundai,2017,"94,825 km",Petrol,Manual,"EMI ₹8,270/m*",₹4.23 lakh
254,Ford Ecosport,Ford,2017,"86,162 km",Petrol,Manual,"EMI ₹8,993/m*",₹4.60 lakh
255,Hyundai Creta,Hyundai,2021,"90,308 km",Diesel,Manual,"EMI ₹16,420/m*",₹9.59 lakh
256,CITROEN C3,CITROEN,2023,"34,284 km",Petrol,Manual,"EMI ₹10,062/m*",₹5.70 lakh
257,Honda Jazz,Honda,2016,"2,11,797 km",Diesel,Manual,"EMI ₹8,558/m*",₹3.25 lakh
258,Honda Jazz,Honda,2017,"1,08,750 km",Petrol,Manual,"EMI ₹8,008/m*",₹3.60 lakh
259,Ford Ecosport,Ford,2018,"1,15,080 km",Diesel,Manual,"EMI ₹14,459/m*",₹6.50 lakh
260,Toyota Glanza,Toyota,2020,"49,393 km",Petrol,Manual,"EMI ₹9,709/m*",₹5.50 lakh
261,Maruti New Wagon-R,Maruti,2022,"56,859 km",Petrol,Auto,"EMI ₹8,650/m*",₹4.90 lakh
262,Maruti Alto K10,Maruti,2022,"64,674 km",Petrol,Manual,"EMI ₹6,443/m*",₹3.65 lakh
263,Maruti Vitara Brezza,Maruti,2021,"29,932 km",Petrol,Manual,"EMI ₹12,357/m*",₹7.00 lakh
264,Maruti Ciaz,Maruti,2014,"50,312 km",Petrol,Manual,"EMI ₹12,788/m*",₹3.85 lakh
265,Hyundai Grand i10,Hyundai,2016,"58,406 km",Petrol,Manual,"EMI ₹7,652/m*",₹3.44 lakh
266,Maruti Swift,Maruti,2021,"34,864 km",Petrol,Manual,"EMI ₹10,592/m*",₹6.00 lakh
267,Maruti Celerio,Maruti,2020,"1,02,159 km",Petrol,Manual,"EMI ₹8,453/m*",₹3.80 lakh
268,Mahindra BOLERO NEO,Mahindra,2021,"58,920 km",Diesel,Manual,"EMI ₹15,496/m*",₹9.05 lakh
269,Honda City,Honda,2015,"58,352 km",Petrol,Manual,"EMI ₹11,798/m*",₹4.48 lakh
270,Maruti Ertiga,Maruti,2014,"1,16,947 km",Diesel,Manual,"EMI ₹26,644/m*",₹5.66 lakh
271,Mercedes Benz B Class,Mercedes,2013,"1,50,683 km",Diesel,Auto,"EMI ₹31,097/m*",₹3.50 lakh
272,Maruti IGNIS,Maruti,2017,"84,215 km",Petrol,Manual,"EMI ₹6,667/m*",₹3.41 lakh
273,Renault TRIBER,Renault,2024,"10,248 km",Petrol,Manual,"EMI ₹10,803/m*",₹6.12 lakh
274,Maruti S PRESSO,Maruti,2020,"47,313 km",Petrol,Manual,"EMI ₹6,178/m*",₹3.50 lakh
275,Maruti New Wagon-R,Maruti,2023,"15,970 km",Petrol,Manual,"EMI ₹9,003/m*",₹5.10 lakh
276,Hyundai GRAND I10 NIOS,Hyundai,2023,"31,424 km",Petrol,Manual,"EMI ₹11,121/m*",₹6.30 lakh
277,Maruti Swift Dzire,Maruti,2014,"1,02,268 km",Diesel,Manual,"EMI ₹17,041/m*",₹3.62 lakh
278,Maruti Swift Dzire,Maruti,2014,"1,69,108 km",Diesel,Manual,"EMI ₹18,123/m*",₹3.85 lakh
279,Hyundai Creta,Hyundai,2016,"96,715 km",Diesel,Auto,"EMI ₹19,434/m*",₹7.38 lakh
280,Nissan MAGNITE,Nissan,2021,"58,535 km",Petrol,Manual,"EMI ₹10,062/m*",₹5.70 lakh
281,Maruti Wagon R 1.0,Maruti,2017,"49,167 km",Petrol,Manual,"EMI ₹6,843/m*",₹3.50 lakh
282,Mahindra XUV500,Mahindra,2015,"1,35,174 km",Diesel,Manual,"EMI ₹21,091/m*",₹6.35 lakh
283,Tata NEXON,Tata,2022,"51,074 km",Diesel,Manual,"EMI ₹17,979/m*",₹10.50 lakh
284,Hyundai Creta,Hyundai,2016,"1,35,566 km",Diesel,Manual,"EMI ₹21,041/m*",₹7.99 lakh
285,Mahindra Scorpio,Mahindra,2013,"2,21,300 km",Diesel,Manual,"EMI ₹40,959/m*",₹4.61 lakh
286,Honda Amaze,Honda,2020,"65,596 km",Petrol,Manual,"EMI ₹9,268/m*",₹5.25 lakh
287,Ford Ecosport,Ford,2014,"1,80,696 km",Diesel,Manual,"EMI ₹17,653/m*",₹3.75 lakh
288,Maruti Dzire,Maruti,2023,"14,992 km",Petrol,Manual,"EMI ₹12,198/m*",₹6.91 lakh
289,Mahindra XUV300,Mahindra,2020,"1,15,832 km",Diesel,Manual,"EMI ₹21,090/m*",₹9.70 lakh
290,Hyundai Elite i20,Hyundai,2015,"46,405 km",Petrol,Manual,"EMI ₹10,797/m*",₹4.10 lakh
291,Hyundai Verna,Hyundai,2011,"1,38,073 km",Petrol,Manual,"EMI ₹10,797/m*",₹2.50 lakh
292,Maruti Celerio,Maruti,2022,"1,04,351 km",Petrol,Manual,"EMI ₹10,010/m*",₹4.50 lakh
