,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
111,MG HECTOR,MG,2019,"97,572 km",Petrol,Manual,"EMI ₹12,233/m*",₹6.93 lakh
112,Maruti Celerio,Maruti,2014,"89,107 km",Petrol,Manual,"EMI ₹6,709/m*",₹2.02 lakh
113,Renault TRIBER,Renault,2019,"45,650 km",Petrol,Manual,"EMI ₹6,161/m*",₹3.49 lakh
114,Maruti Swift,Maruti,2018,"89,001 km",Petrol,Manual,"EMI ₹7,061/m*",₹4.00 lakh
115,Renault Kwid,Renault,2016,"70,485 km",Petrol,Manual,"EMI ₹3,292/m*",₹1.48 lakh
116,Maruti Ciaz,Maruti,2018,"80,767 km",Diesel,Manual,"EMI ₹6,843/m*",₹3.50 lakh
117,Maruti New Wagon-R,Maruti,2019,"70,515 km",Petrol,Manual,"EMI ₹5,472/m*",₹3.10 lakh
118,Maruti Alto 800,Maruti,2015,"25,165 km",Petrol,Manual,"EMI ₹5,530/m*",₹2.10 lakh
119,Maruti Eeco,Maruti,2020,"49,217 km",Petrol,Manual,"EMI ₹6,743/m*",₹3.82 lakh
120,Volkswagen Polo,Volkswagen,2014,"90,876 km",Diesel,Manual,"EMI ₹8,097/m*",₹1.72 lakh
121,Maruti Alto 800,Maruti,2014,"1,01,992 km",Petrol,Manual,"EMI ₹5,049/m*",₹1.52 lakh
122,Hyundai i10,Hyundai,2013,"2,14,245 km",Petrol,Manual,"EMI ₹9,085/m*",₹1.93 lakh
123,Hyundai i10,Hyundai,2012,"1,06,393 km",Petrol,Auto,"EMI ₹16,082/m*",₹1.81 lakh
124,Maruti Swift Dzire,Maruti,2013,"97,882 km",Petrol,Manual,"EMI ₹8,790/m*",₹1.87 lakh
125,Maruti Swift Dzire,Maruti,2013,"72,109 km",Petrol,Manual,"EMI ₹8,662/m*",₹1.84 lakh
126,Hyundai Verna,Hyundai,2014,"77,471 km",Petrol,Manual,"EMI ₹9,533/m*",₹2.87 lakh
127,Hyundai i20,Hyundai,2012,"1,87,648 km",Diesel,Manual,"EMI ₹9,533/m*",₹1.56 lakh
128,KIA SYROS,KIA,2025,"10,837 km",Petrol,Manual,"EMI ₹16,181/m*",₹9.45 lakh
129,Renault Kwid,Renault,2018,"26,775 km",Petrol,Manual,"EMI ₹3,425/m*",₹1.94 lakh
130,Maruti Alto 800,Maruti,2018,"50,031 km",Petrol,Manual,"EMI ₹3,495/m*",₹1.98 lakh
131,Maruti Eeco,Maruti,2018,"1,31,786 km",Petrol,Manual,"EMI ₹6,629/m*",₹2.98 lakh
132,Hyundai Eon,Hyundai,2015,"1,23,398 km",Petrol,Manual,"EMI ₹4,213/m*",₹1.60 lakh
133,Maruti Dzire,Maruti,2022,"44,267 km",Petrol,Manual,"EMI ₹10,133/m*",₹5.74 lakh
134,Hyundai Verna,Hyundai,2012,"1,04,002 km",Diesel,Auto,"EMI ₹10,133/m*",₹1.49 lakh
135,Maruti Wagon R 1.0,Maruti,2013,"1,65,992 km",Petrol,Manual,"EMI ₹8,897/m*",₹1.89 lakh
136,Maruti Wagon R 1.0,Maruti,2017,"65,300 km",Petrol,Manual,"EMI ₹4,809/m*",₹2.46 lakh
137,Hyundai i10,Hyundai,2015,"1,04,444 km",Petrol,Manual,"EMI ₹7,031/m*",₹2.67 lakh
138,Honda Brio,Honda,2014,"36,350 km",Petrol,Manual,"EMI ₹7,407/m*",₹2.23 lakh
139,Maruti Alto 800,Maruti,2015,"1,31,681 km",Petrol,Manual,"EMI ₹4,082/m*",₹1.55 lakh
140,Honda WR-V,Honda,2018,"95,198 km",Diesel,Manual,"EMI ₹7,136/m*",₹3.65 lakh
141,Honda Amaze,Honda,2015,"1,05,258 km",Petrol,Manual,"EMI ₹7,268/m*",₹2.76 lakh
142,Renault Kwid,Renault,2015,"1,20,871 km",Petrol,Manual,"EMI ₹3,871/m*",₹1.47 lakh
143,Chevrolet Beat,Chevrolet,2013,"2,50,363 km",Diesel,Manual,"EMI ₹6,841/m*",₹0.77 lakh
144,Volkswagen Vento,Volkswagen,2012,"1,00,339 km",Diesel,Manual,"EMI ₹6,841/m*",₹1.51 lakh
145,Maruti Eeco,Maruti,2020,"67,533 km",Petrol,Manual,"EMI ₹5,772/m*",₹3.27 lakh
146,Honda City,Honda,2014,"1,01,983 km",Petrol,Manual,"EMI ₹7,374/m*",₹2.22 lakh
147,Maruti New Wagon-R,Maruti,2020,"54,000 km",Petrol,Manual,"EMI ₹6,373/m*",₹3.61 lakh
148,Hyundai i10,Hyundai,2013,"83,900 km",Petrol,Manual,"EMI ₹8,285/m*",₹1.76 lakh
149,Maruti Alto 800,Maruti,2017,"1,35,730 km",Petrol,Manual,"EMI ₹4,315/m*",₹1.94 lakh
150,Toyota Innova Crysta,Toyota,2018,"89,895 km",Diesel,Manual,"EMI ₹19,262/m*",₹10.12 lakh
151,Maruti Wagon R 1.0,Maruti,2012,"54,155 km",Petrol,Manual,"EMI ₹14,038/m*",₹1.58 lakh
152,Hyundai Eon,Hyundai,2014,"40,989 km",Petrol,Manual,"EMI ₹5,580/m*",₹1.68 lakh
153,Maruti Ertiga,Maruti,2015,"80,650 km",Diesel,Manual,"EMI ₹12,190/m*",₹3.67 lakh
154,Tata Manza,Tata,2011,"75,000 km",Petrol,Manual,"EMI ₹12,190/m*",₹0.96 lakh
155,Hyundai Eon,Hyundai,2015,"56,686 km",Petrol,Manual,"EMI ₹3,897/m*",₹1.48 lakh
156,Maruti Alto,Maruti,2021,"53,416 km",Petrol,Manual,"EMI ₹4,996/m*",₹2.83 lakh
157,Datsun Redi Go,Datsun,2017,"68,610 km",Petrol,Manual,"EMI ₹2,776/m*",₹1.42 lakh
158,Hyundai Elite i20,Hyundai,2014,"85,115 km",Petrol,Manual,"EMI ₹10,629/m*",₹3.20 lakh
159,Maruti Swift Dzire,Maruti,2013,"1,26,215 km",Diesel,Manual,"EMI ₹22,212/m*",₹2.50 lakh
160,Toyota Innova,Toyota,2010,"1,68,954 km",Diesel,Manual,"EMI ₹22,212/m*",₹2.22 lakh
161,Volkswagen Vento,Volkswagen,2012,"1,14,830 km",Diesel,Manual,"EMI ₹22,212/m*",₹1.39 lakh
162,Hyundai VENUE,Hyundai,2022,"95,679 km",Diesel,Manual,"EMI ₹13,222/m*",₹7.49 lakh
163,Hyundai i20,Hyundai,2013,"30,611 km",Petrol,Manual,"EMI ₹9,980/m*",₹2.12 lakh
164,Maruti Swift,Maruti,2014,"1,09,066 km",Diesel,Manual,"EMI ₹11,384/m*",₹2.42 lakh
165,Maruti Swift Dzire,Maruti,2013,"2,17,188 km",Diesel,Manual,"EMI ₹27,010/m*",₹3.04 lakh
166,Volkswagen Vento,Volkswagen,2013,"1,72,856 km",Diesel,Manual,"EMI ₹16,437/m*",₹1.85 lakh
167,Maruti Wagon R 1.0,Maruti,2015,"94,452 km",Petrol,Manual,"EMI ₹3,950/m*",₹1.50 lakh
168,Maruti Eeco,Maruti,2014,"1,80,824 km",Petrol,Manual,"EMI ₹7,606/m*",₹2.29 lakh
169,Datsun Redi Go,Datsun,2017,"62,335 km",Petrol,Manual,"EMI ₹2,600/m*",₹1.33 lakh
170,Nissan MAGNITE,Nissan,2022,"19,440 km",Petrol,Manual,"EMI ₹9,903/m*",₹5.61 lakh
171,Volkswagen Vento,Volkswagen,2015,"1,20,345 km",Petrol,Auto,"EMI ₹6,662/m*",₹2.53 lakh
172,Honda Amaze,Honda,2013,"96,955 km",Petrol,Manual,"EMI ₹10,592/m*",₹2.25 lakh
173,Mahindra TUV300,Mahindra,2016,"93,379 km",Diesel,Manual,"EMI ₹8,875/m*",₹3.37 lakh
174,Chevrolet Sail UVA,Chevrolet,2012,"1,39,918 km",Diesel,Manual,"EMI ₹8,875/m*",₹0.95 lakh
175,Tata NEXON,Tata,2019,"1,03,918 km",Petrol,Manual,"EMI ₹9,587/m*",₹4.31 lakh
